"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-01","2024","01","01","","1.5","","-6.8","","-2.6","","20.6","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-02","2024","01","02","","-2.6","","-9.1","","-5.8","","23.8","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-03","2024","01","03","","-5.8","","-11.6","","-8.7","","26.7","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-04","2024","01","04","","-5.7","","-10.0","","-7.8","","25.8","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-05","2024","01","05","","-1.1","","-11.5","","-6.3","","24.3","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-06","2024","01","06","","-7.7","","-12.7","","-10.2","","28.2","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-07","2024","01","07","","-12.6","","-17.0","","-14.8","","32.8","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-08","2024","01","08","","-9.0","","-19.2","","-14.1","","32.1","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-09","2024","01","09","","-13.1","","-20.5","","-16.8","","34.8","","0.0","","","","","","3.3","","","","6","","34",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-10","2024","01","10","","-20.5","","-27.5","","-24.0","","42.0","","0.0","","","","","","1.8","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-11","2024","01","11","","-27.5","","-34.6","","-31.0","","49.0","","0.0","","","","","","0.2","","","","35","","36",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-12","2024","01","12","","-31.8","","-36.9","","-34.3","","52.3","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-13","2024","01","13","","-27.9","","-36.0","","-31.9","","49.9","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-14","2024","01","14","","-31.3","","-37.7","","-34.5","","52.5","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-15","2024","01","15","","-21.1","","-34.2","","-27.7","","45.7","","0.0","","","","","","0.2","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-16","2024","01","16","","-13.4","","-21.3","","-17.4","","35.4","","0.0","","","","","","0.9","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-17","2024","01","17","","-19.2","","-23.5","","-21.3","","39.3","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-18","2024","01","18","","-17.9","","-23.2","","-20.6","","38.6","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-19","2024","01","19","","-15.7","","-25.7","","-20.7","","38.7","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-20","2024","01","20","","-12.5","","-16.7","","-14.6","","32.6","","0.0","","","","","","0.6","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-21","2024","01","21","","-11.3","","-13.0","","-12.1","","30.1","","0.0","","","","","","4.8","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-22","2024","01","22","","-10.8","","-13.7","","-12.3","","30.3","","0.0","","","","","","0.4","","","","18","","37",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-23","2024","01","23","","-3.1","","-12.8","","-7.9","","25.9","","0.0","","","","","","0.2","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-24","2024","01","24","","2.1","","-10.0","","-4.0","","22.0","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-25","2024","01","25","","0.0","","-9.6","","-4.8","","22.8","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-26","2024","01","26","","4.7","","-8.7","","-2.0","","20.0","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-27","2024","01","27","","6.0","","-7.9","","-1.0","","19.0","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-28","2024","01","28","","10.0","","-3.2","","3.4","","14.6","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-29","2024","01","29","","6.8","","-4.6","","1.1","","16.9","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-30","2024","01","30","","12.4","","-0.9","","5.8","","12.2","","0.0","","","","","","0.0","","","","31","","45",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-01-31","2024","01","31","","7.7","","-5.4","","1.1","","16.9","","0.0","","","","","","0.0","","","","15","","37",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-02-01","2024","02","01","","11.3","","-2.6","","4.4","","13.6","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-02-02","2024","02","02","","6.4","","-3.2","","1.6","","16.4","","0.0","","","","","","0.0","","","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2024-02-03","2024","02","03","","3.6","","-6.9","","-1.7","","19.7","","0.0","","","","","","0.0","","","","35","","44",""
