"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-01","2024","01","01","","-4.2","","-7.7","","-6.0","","24.0","","0.0","","","","","","0.0","","","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-02","2024","01","02","","1.0","","-5.9","","-2.5","","20.5","","0.0","","","","","","0.0","","","","19","","36",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-03","2024","01","03","","2.8","","0.0","","1.4","","16.6","","0.0","","","","","","0.4","","","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-04","2024","01","04","","0.8","","-11.8","","-5.5","","23.5","","0.0","","","","","","0.2","","","","36","","46",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-05","2024","01","05","","-1.4","","-12.7","","-7.0","","25.0","","0.0","","","","","","0.1","","","","21","","36",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-06","2024","01","06","","-2.3","","-10.3","","-6.3","","24.3","","0.0","","","","","","2.4","","","","7","","41",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-07","2024","01","07","","-4.6","","-9.4","","-7.0","","25.0","","0.0","","","","","","4.3","","","","9","","32",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-08","2024","01","08","","-1.6","","-5.6","","-3.6","","21.6","","0.0","","","","","","0.0","","4","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-09","2024","01","09","","-0.1","","-6.7","","-3.4","","21.4","","0.0","","","","","","11.1","","3","","9","","56",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-10","2024","01","10","","5.1","","-4.9","","0.1","","17.9","","0.0","","","","","","8.0","","2","","28","","57",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-11","2024","01","11","","-4.7","","-7.2","","-5.9","","23.9","","0.0","","","","","","0.6","","0","","29","","35",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-12","2024","01","12","","-4.4","","-11.2","","-7.8","","25.8","","0.0","","","","","","3.3","","","","10","","55",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-13","2024","01","13","","2.2","","-5.7","","-1.8","","19.8","","0.0","","","","","","16.3","","16","","25","","62",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-14","2024","01","14","","-2.8","","-8.6","","-5.7","","23.7","","0.0","","","","","","0.1","","21","","24","","55",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-15","2024","01","15","","-6.8","","-13.5","","-10.1","","28.1","","0.0","","","","","","0.0","","20","","21","","42",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-16","2024","01","16","","-6.6","","-16.8","","-11.7","","29.7","","0.0","","","","","","2.9","","19","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-17","2024","01","17","","-8.7","","-18.1","","-13.4","","31.4","","0.0","","","","","","0.0","","21","","21","","32",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-18","2024","01","18","","-6.8","","-12.7","","-9.7","","27.7","","0.0","","","","","","0.0","","19","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-19","2024","01","19","","-10.9","","-18.4","","-14.6","","32.6","","0.0","","","","","","0.0","","19","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-20","2024","01","20","","-10.7","","-16.7","","-13.7","","31.7","","0.0","","","","","","0.0","","19","","31","","37",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-21","2024","01","21","","-9.9","","-17.9","","-13.9","","31.9","","0.0","","","","","","0.0","","19","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-22","2024","01","22","","-0.9","","-14.3","","-7.6","","25.6","","0.0","","","","","","2.3","","18","","22","","42",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-23","2024","01","23","","-0.7","","-9.2","","-4.9","","22.9","","0.0","","","","","","0.1","","17","","7","","35",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-24","2024","01","24","","-3.2","","-10.5","","-6.8","","24.8","","0.0","","","","","","6.1","","23","","8","","34",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-25","2024","01","25","","0.7","","-3.3","","-1.3","","19.3","","0.0","","","","","","1.9","","23","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-26","2024","01","26","","2.0","","-0.6","","0.7","","17.3","","0.0","","","","","","9.4","","21","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-27","2024","01","27","","1.5","","0.2","","0.8","","17.2","","0.0","","","","","","0.5","","19","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-28","2024","01","28","","2.3","","0.0","","1.1","","16.9","","0.0","","","","","","0.0","","18","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-29","2024","01","29","","0.3","","-8.1","","-3.9","","21.9","","0.0","","","","","","0.0","","17","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-30","2024","01","30","","-3.4","","-7.1","","-5.3","","23.3","","0.0","","","","","","0.0","","16","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-01-31","2024","01","31","","2.2","","-7.4","","-2.6","","20.6","","0.0","","","","","","0.0","","16","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-01","2024","02","01","","3.3","","1.2","","2.3","","15.7","","0.0","","","","","","0.3","","16","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-02","2024","02","02","","2.1","","-4.2","","-1.0","","19.0","","0.0","","","","","","0.0","","16","","35","","37",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-03","2024","02","03","","-1.8","","-6.8","","-4.3","","22.3","","0.0","","","","","","0.0","","15","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-04","2024","02","04","","-0.1","","-6.7","","-3.4","","21.4","","0.0","","","","","","0.0","","15","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-05","2024","02","05","","3.0","","-5.2","","-1.1","","19.1","","0.0","","","","","","0.0","","15","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-06","2024","02","06","","2.0","","-9.3","","-3.7","","21.7","","0.0","","","","","","0.0","","15","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-07","2024","02","07","","0.5","","-10.0","","-4.7","","22.7","","0.0","","","","","","0.0","","16","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-08","2024","02","08","","4.4","","-7.1","","-1.4","","19.4","","0.0","","","","","","0.0","","15","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-09","2024","02","09","","9.3","","-1.1","","4.1","","13.9","","0.0","","","","","","1.7","","15","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-10","2024","02","10","","6.1","","2.6","","4.4","","13.6","","0.0","","","","","","0.0","","11","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-11","2024","02","11","","3.2","","0.7","","2.0","","16.0","","0.0","","","","","","0.0","","8","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-12","2024","02","12","","2.7","","-5.0","","-1.2","","19.2","","0.0","","","","","","0.0","","7","","","","",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-13","2024","02","13","","3.7","","-9.3","","-2.8","","20.8","","0.0","","","","","","0.0","","6","","34","","51",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-14","2024","02","14","","-4.7","","-10.5","","-7.6","","25.6","","0.0","","","","","","0.0","","6","","27","","45",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-15","2024","02","15","","-4.0","","-11.7","","-7.9","","25.9","","0.0","","","","","","5.1","","5","","7","","31",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-16","2024","02","16","","-2.1","","-10.5","","-6.3","","24.3","","0.0","","","","","","0.5","","17","","26","","42",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-17","2024","02","17","","-8.3","","-16.2","","-12.2","","30.2","","0.0","","","","","","0.0","","13","","28","","37",""
"-75.72","45.38","OTTAWA CDA RCS","6105978","2024-02-18","2024","02","18","","-1.1","","-12.8","","-6.9","","24.9","","0.0","","","","","","3.0","","13","","30","","51",""
