"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2024-01-01","2024","01","01","","-4.6","","-6.8","","-5.7","","23.7","","0.0","","","","","","0.2","","0","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-02","2024","01","02","","1.0","","-4.7","","-1.8","","19.8","","0.0","","","","","","0.0","","0","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-03","2024","01","03","","1.9","","-0.1","","0.9","","17.1","","0.0","","","","","","0.0","","0","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-04","2024","01","04","","1.4","","-11.6","","-5.1","","23.1","","0.0","","","","","","1.7","","0","","35","","34",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-05","2024","01","05","","-1.8","","-12.7","","-7.3","","25.3","","0.0","","","","","","0.0","","0","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-06","2024","01","06","","-2.7","","-10.2","","-6.5","","24.5","","0.0","","","","","","3.2","","0","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-07","2024","01","07","","-6.2","","-8.9","","-7.6","","25.6","","0.0","","","","","","9.3","","9","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-08","2024","01","08","","-2.4","","-7.6","","-5.0","","23.0","","0.0","","","","","","0.0","","18","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-09","2024","01","09","","1.4","","-8.1","","-3.3","","21.3","","0.0","","","","","","18.6","","16","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-10","2024","01","10","","6.7","","-2.2","","2.3","","15.7","","0.0","","","","","","11.5","","24","","23","","37",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-11","2024","01","11","","-2.2","","-6.1","","-4.1","","22.1","","0.0","","","","","","0.5","","17","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-12","2024","01","12","","-2.4","","-7.8","","-5.1","","23.1","","0.0","","","","","","0.2","","17","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-13","2024","01","13","","2.0","","-6.9","","-2.4","","20.4","","0.0","","","","","","14.1","","16","","35","","39",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-14","2024","01","14","","-1.2","","-7.1","","-4.1","","22.1","","0.0","","","","","","4.2","","23","","19","","35",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-15","2024","01","15","","-5.1","","-7.5","","-6.3","","24.3","","0.0","","","","","","0.2","","27","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-16","2024","01","16","","-6.0","","-10.0","","-8.0","","26.0","","0.0","","","","","","3.3","","25","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-17","2024","01","17","","-8.2","","-12.8","","-10.5","","28.5","","0.0","","","","","","0.2","","28","","19","","31",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-18","2024","01","18","","-6.3","","-10.2","","-8.2","","26.2","","0.0","","","","","","0.0","","27","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-19","2024","01","19","","-9.3","","-15.8","","-12.6","","30.6","","0.0","","","","","","0.0","","26","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-20","2024","01","20","","-10.5","","-16.4","","-13.4","","31.4","","0.0","","","","","","1.3","","26","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-21","2024","01","21","","-8.9","","-13.7","","-11.3","","29.3","","0.0","","","","","","0.0","","27","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-22","2024","01","22","","-0.5","","-10.0","","-5.3","","23.3","","0.0","","","","","","0.6","","27","","21","","32",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-23","2024","01","23","","0.2","","-9.9","","-4.9","","22.9","","0.0","","","","","","0.2","","27","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-24","2024","01","24","","-4.2","","-10.6","","-7.4","","25.4","","0.0","","","","","","2.6","","27","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-25","2024","01","25","","0.8","","-4.5","","-1.9","","19.9","","0.0","","","","","","5.9","","28","","","M","","M"
"-73.58","45.50","MCTAVISH","7024745","2024-01-26","2024","01","26","","0.5","","-1.0","","-0.2","","18.2","","0.0","","","","","","7.9","","26","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-27","2024","01","27","","1.7","","-1.4","","0.1","","17.9","","0.0","","","","","","0.3","","28","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-28","2024","01","28","","1.7","","-0.2","","0.8","","17.2","","0.0","","","","","","0.0","","26","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-29","2024","01","29","","-0.1","","-5.2","","-2.7","","20.7","","0.0","","","","","","0.0","","25","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-30","2024","01","30","","-5.1","","-10.6","","-7.8","","25.8","","0.0","","","","","","0.0","","24","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-01-31","2024","01","31","","2.2","","-7.3","","-2.5","","20.5","","0.0","","","","","","0.0","","24","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-01","2024","02","01","","3.0","","1.4","","2.2","","15.8","","0.0","","","","","","3.6","","24","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-02","2024","02","02","","1.5","","-5.0","","-1.7","","19.7","","0.0","","","","","","0.2","","23","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-03","2024","02","03","","-3.0","","-6.9","","-5.0","","23.0","","0.0","","","","","","0.3","","23","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-04","2024","02","04","","-1.2","","-7.9","","-4.5","","22.5","","0.0","","","","","","0.0","","23","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-05","2024","02","05","","2.0","","-6.9","","-2.4","","20.4","","0.0","","","","","","0.0","","23","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-06","2024","02","06","","-0.4","","-6.5","","-3.4","","21.4","","0.0","","","","","","0.0","","23","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-07","2024","02","07","","0.3","","-7.6","","-3.7","","21.7","","0.0","","","","","","0.0","","22","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-08","2024","02","08","","5.3","","-1.6","","1.9","","16.1","","0.0","","","","","","0.0","","23","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-09","2024","02","09","","7.4","","0.5","","4.0","","14.0","","0.0","","","","","","7.6","","23","","26","","43",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-10","2024","02","10","","9.5","","3.9","","6.7","","11.3","","0.0","","","","","","1.5","","21","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-11","2024","02","11","","4.0","","1.6","","2.8","","15.2","","0.0","","","","","","0.0","","18","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-12","2024","02","12","","1.8","","-2.9","","-0.5","","18.5","","0.0","","","","","","0.0","","17","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-13","2024","02","13","","1.7","","-7.3","","-2.8","","20.8","","0.0","","","","","","1.7","","17","","2","","34",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-14","2024","02","14","","-4.4","","-10.7","","-7.6","","25.6","","0.0","","","","","","0.2","","20","","26","","34",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-15","2024","02","15","","-3.2","","-9.8","","-6.5","","24.5","","0.0","","","","","","2.3","","20","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-16","2024","02","16","","-2.5","","-7.7","","-5.1","","23.1","","0.0","","","","","","2.5","","35","","1","","31",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-17","2024","02","17","","-6.8","","-12.9","","-9.9","","27.9","","0.0","","","","","","0.5","","30","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-18","2024","02","18","","-1.9","","-13.3","","-7.6","","25.6","","0.0","","","","","","3.7","","27","","21","","31",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-19","2024","02","19","","-6.3","","-12.0","","-9.1","","27.1","","0.0","","","","","","0.2","","32","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-20","2024","02","20","","-5.2","","-11.3","","-8.3","","26.3","","0.0","","","","","","0.0","","30","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-21","2024","02","21","","4.0","","-12.1","","-4.0","","22.0","","0.0","","","","","","0.0","","29","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-22","2024","02","22","","3.2","","0.2","","1.7","","16.3","","0.0","","","","","","0.2","","26","","","","",""
"-73.58","45.50","MCTAVISH","7024745","2024-02-23","2024","02","23","","6.9","","-10.7","","-1.9","","19.9","","0.0","","","","","","0.3","","23","","36","","36",""
