"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag","city"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-01",2024,1,1,NA,1.5,"",-6.8,"",-2.6,"",20.6,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-02",2024,1,2,NA,-2.6,"",-9.1,"",-5.8,"",23.8,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-03",2024,1,3,NA,-5.8,"",-11.6,"",-8.7,"",26.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-04",2024,1,4,NA,-5.7,"",-10,"",-7.8,"",25.8,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-05",2024,1,5,NA,-1.1,"",-11.5,"",-6.3,"",24.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-06",2024,1,6,NA,-7.7,"",-12.7,"",-10.2,"",28.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-07",2024,1,7,NA,-12.6,"",-17,"",-14.8,"",32.8,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-08",2024,1,8,NA,-9,"",-19.2,"",-14.1,"",32.1,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-09",2024,1,9,NA,-13.1,"",-20.5,"",-16.8,"",34.8,"",0,"",NA,NA,NA,NA,3.3,"",NA,NA,6,"",34,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-10",2024,1,10,NA,-20.5,"",-27.5,"",-24,"",42,"",0,"",NA,NA,NA,NA,1.8,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-11",2024,1,11,NA,-27.5,"",-34.6,"",-31,"",49,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,35,"",36,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-12",2024,1,12,NA,-31.8,"",-36.9,"",-34.3,"",52.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-13",2024,1,13,NA,-27.9,"",-36,"",-31.9,"",49.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-14",2024,1,14,NA,-31.3,"",-37.7,"",-34.5,"",52.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-15",2024,1,15,NA,-21.1,"",-34.2,"",-27.7,"",45.7,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-16",2024,1,16,NA,-13.4,"",-21.3,"",-17.4,"",35.4,"",0,"",NA,NA,NA,NA,0.9,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
