Artist,Song,Valence,Max Temp,Min Temp,Mean Temp,Danceability,Energy,Acousticness,Tempo,Date
"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),0.731,23.06590909090909,11.103977272727272,17.102840909090908,0.638,0.855,0.00757,127.986,2024-06-01
Shaboozey,A Bar Song (Tipsy),0.599,23.06590909090909,11.103977272727272,17.102840909090908,0.722,0.706,0.072,80.969,2024-06-01
Eminem,Houdini,0.889,23.06590909090909,11.103977272727272,17.102840909090908,0.936,0.887,0.0292,127.003,2024-06-01
Sabrina Carpenter,Espresso,0.69,23.06590909090909,11.103977272727272,17.102840909090908,0.701,0.76,0.107,103.969,2024-06-01
Kendrick Lamar,Not Like Us,0.214,23.06590909090909,11.103977272727272,17.102840909090908,0.898,0.472,0.0107,101.061,2024-06-01
Tommy Richman,MILLION DOLLAR BABY,0.927,23.06590909090909,11.103977272727272,17.102840909090908,0.849,0.699,0.0982,138.003,2024-06-01
Zach Bryan,Pink Skies,0.253,23.06590909090909,11.103977272727272,17.102840909090908,0.525,0.488,0.191,84.999,2024-06-01
Billie Eilish,BIRDS OF A FEATHER,0.438,23.06590909090909,11.103977272727272,17.102840909090908,0.747,0.507,0.2,104.978,2024-06-01
"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),0.886,23.06590909090909,11.103977272727272,17.102840909090908,0.882,0.764,0.359,140.113,2024-06-01
Billie Eilish,LUNCH,0.945,23.06590909090909,11.103977272727272,17.102840909090908,0.893,0.4,0.0452,124.987,2024-06-01
Benson Boone,Beautiful Things,0.219,23.06590909090909,11.103977272727272,17.102840909090908,0.472,0.471,0.151,105.029,2024-06-01
Hozier,Too Sweet,0.934,23.06590909090909,11.103977272727272,17.102840909090908,0.741,0.62,0.0295,117.038,2024-06-01
Myles Smith,Stargazing,0.332,23.06590909090909,11.103977272727272,17.102840909090908,0.635,0.601,0.246,123.994,2024-06-01
Dasha,Austin (Boots Stop Workin'),0.739,23.06590909090909,11.103977272727272,17.102840909090908,0.756,0.672,0.464,114.935,2024-06-01
Noah Kahan,Stick Season,0.801,23.06590909090909,11.103977272727272,17.102840909090908,0.664,0.5,0.799,117.896,2024-06-01
Teddy Swims,Lose Control,0.242,23.06590909090909,11.103977272727272,17.102840909090908,0.561,0.604,0.199,159.92,2024-06-01
"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),0.281,23.06590909090909,11.103977272727272,17.102840909090908,0.504,0.386,0.502,192.004,2024-06-01
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),0.155,23.06590909090909,11.103977272727272,17.102840909090908,0.429,0.453,0.554,77.639,2024-06-01
Billie Eilish,CHIHIRO,0.521,23.06590909090909,11.103977272727272,17.102840909090908,0.7,0.425,0.144,110.015,2024-06-01
Artemas,i like the way you kiss me,0.747,23.06590909090909,11.103977272727272,17.102840909090908,0.599,0.946,9.38e-4,151.647,2024-06-01
Morgan Wallen,Last Night,0.488,23.06590909090909,11.103977272727272,17.102840909090908,0.492,0.673,0.413,203.812,2024-06-01
"Marshmello, Kane Brown",Miles On It,0.785,23.06590909090909,11.103977272727272,17.102840909090908,0.634,0.761,0.00537,129.963,2024-06-01
"Future, Metro Boomin, Kendrick Lamar",Like That,0.312,23.06590909090909,11.103977272727272,17.102840909090908,0.814,0.676,0.00709,162.012,2024-06-01
Benson Boone,Slow It Down,0.544,23.06590909090909,11.103977272727272,17.102840909090908,0.432,0.583,0.174,181.489,2024-06-01
Ariana Grande,we can't be friends (wait for your love),0.295,23.06590909090909,11.103977272727272,17.102840909090908,0.645,0.646,0.0615,115.842,2024-06-01
Michael Marcagi,Scared To Start,0.443,23.06590909090909,11.103977272727272,17.102840909090908,0.527,0.551,0.384,148.035,2024-06-01
Mark Ambor,Belong Together,0.64,23.06590909090909,11.103977272727272,17.102840909090908,0.646,0.668,0.491,90.969,2024-06-01
Chappell Roan,"Good Luck, Babe!",0.785,23.06590909090909,11.103977272727272,17.102840909090908,0.7,0.582,0.0502,116.712,2024-06-01
Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),0.282,23.06590909090909,11.103977272727272,17.102840909090908,0.487,0.658,0.00877,142.18,2024-06-01
Taylor Swift,I Can Do It With a Broken Heart,0.22,23.06590909090909,11.103977272727272,17.102840909090908,0.701,0.751,0.123,129.994,2024-06-01
"FloyyMenor, Cris Mj",Gata Only,0.669,23.06590909090909,11.103977272727272,17.102840909090908,0.791,0.499,0.446,99.986,2024-06-01
Gunna,one of wun,0.287,23.06590909090909,11.103977272727272,17.102840909090908,0.915,0.453,0.0872,139.943,2024-06-01
Luke Combs,Fast Car,0.67,23.06590909090909,11.103977272727272,17.102840909090908,0.712,0.603,0.186,97.994,2024-06-01
"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),0.399,23.06590909090909,11.103977272727272,17.102840909090908,0.621,0.779,0.216,172.037,2024-06-01
Djo,End of Beginning,0.912,23.06590909090909,11.103977272727272,17.102840909090908,0.689,0.454,0.0351,159.982,2024-06-01
Zach Bryan,Something in the Orange,0.148,23.06590909090909,11.103977272727272,17.102840909090908,0.369,0.192,0.555,175.212,2024-06-01
Taylor Swift,Cruel Summer,0.564,23.06590909090909,11.103977272727272,17.102840909090908,0.552,0.702,0.117,169.994,2024-06-01
Luke Combs,Where the Wild Things Are,0.379,23.06590909090909,11.103977272727272,17.102840909090908,0.708,0.731,0.0189,116.975,2024-06-01
Billie Eilish,WILDFLOWER,0.126,23.06590909090909,11.103977272727272,17.102840909090908,0.467,0.247,0.612,148.101,2024-06-01
Journey,Don't Stop Believin' (2022 Remaster),0.51,23.06590909090909,11.103977272727272,17.102840909090908,0.505,0.754,0.132,119.204,2024-06-01
Morgan Wallen,Thinkin’ Bout Me,0.468,23.06590909090909,11.103977272727272,17.102840909090908,0.659,0.789,0.487,139.982,2024-06-01
Kendrick Lamar,euphoria,0.142,23.06590909090909,11.103977272727272,17.102840909090908,0.831,0.643,0.046,139.948,2024-06-01
Beyoncé,TEXAS HOLD 'EM,0.375,23.06590909090909,11.103977272727272,17.102840909090908,0.727,0.711,0.582,110.012,2024-06-01
Morgan Wallen,You Proof,0.681,23.06590909090909,11.103977272727272,17.102840909090908,0.728,0.818,0.323,119.706,2024-06-01
Tate McRae,greedy,0.816,23.06590909090909,11.103977272727272,17.102840909090908,0.749,0.729,0.261,111.004,2024-06-01
"Future, Metro Boomin, Travis Scott, Playboi Carti",Type Shit,0.112,23.06590909090909,11.103977272727272,17.102840909090908,0.64,0.552,0.0215,144.941,2024-06-01
Zach Bryan,Heading South,0.388,23.06590909090909,11.103977272727272,17.102840909090908,0.68,0.246,0.783,110.23,2024-06-01
Van Morrison,Brown Eyed Girl,0.908,23.06590909090909,11.103977272727272,17.102840909090908,0.491,0.583,0.185,150.566,2024-06-01
Jack Harlow,Lovin On Me,0.606,23.06590909090909,11.103977272727272,17.102840909090908,0.943,0.558,0.0026,104.983,2024-06-01
Miley Cyrus,Flowers,0.632,23.06590909090909,11.103977272727272,17.102840909090908,0.706,0.691,0.0584,118.048,2024-06-01
"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),0.731,20.69715909090909,13.329545454545455,17.036931818181817,0.638,0.855,0.00757,127.986,2024-06-02
Eminem,Houdini,0.889,20.69715909090909,13.329545454545455,17.036931818181817,0.936,0.887,0.0292,127.003,2024-06-02
Shaboozey,A Bar Song (Tipsy),0.599,20.69715909090909,13.329545454545455,17.036931818181817,0.722,0.706,0.072,80.969,2024-06-02
Sabrina Carpenter,Espresso,0.69,20.69715909090909,13.329545454545455,17.036931818181817,0.701,0.76,0.107,103.969,2024-06-02
Tommy Richman,MILLION DOLLAR BABY,0.927,20.69715909090909,13.329545454545455,17.036931818181817,0.849,0.699,0.0982,138.003,2024-06-02
Kendrick Lamar,Not Like Us,0.214,20.69715909090909,13.329545454545455,17.036931818181817,0.898,0.472,0.0107,101.061,2024-06-02
Billie Eilish,BIRDS OF A FEATHER,0.438,20.69715909090909,13.329545454545455,17.036931818181817,0.747,0.507,0.2,104.978,2024-06-02
Zach Bryan,Pink Skies,0.253,20.69715909090909,13.329545454545455,17.036931818181817,0.525,0.488,0.191,84.999,2024-06-02
"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),0.886,20.69715909090909,13.329545454545455,17.036931818181817,0.882,0.764,0.359,140.113,2024-06-02
Billie Eilish,LUNCH,0.945,20.69715909090909,13.329545454545455,17.036931818181817,0.893,0.4,0.0452,124.987,2024-06-02
Benson Boone,Beautiful Things,0.219,20.69715909090909,13.329545454545455,17.036931818181817,0.472,0.471,0.151,105.029,2024-06-02
Hozier,Too Sweet,0.934,20.69715909090909,13.329545454545455,17.036931818181817,0.741,0.62,0.0295,117.038,2024-06-02
Myles Smith,Stargazing,0.332,20.69715909090909,13.329545454545455,17.036931818181817,0.635,0.601,0.246,123.994,2024-06-02
Dasha,Austin (Boots Stop Workin'),0.739,20.69715909090909,13.329545454545455,17.036931818181817,0.756,0.672,0.464,114.935,2024-06-02
Noah Kahan,Stick Season,0.801,20.69715909090909,13.329545454545455,17.036931818181817,0.664,0.5,0.799,117.896,2024-06-02
"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),0.281,20.69715909090909,13.329545454545455,17.036931818181817,0.504,0.386,0.502,192.004,2024-06-02
Teddy Swims,Lose Control,0.242,20.69715909090909,13.329545454545455,17.036931818181817,0.561,0.604,0.199,159.92,2024-06-02
Billie Eilish,CHIHIRO,0.521,20.69715909090909,13.329545454545455,17.036931818181817,0.7,0.425,0.144,110.015,2024-06-02
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),0.155,20.69715909090909,13.329545454545455,17.036931818181817,0.429,0.453,0.554,77.639,2024-06-02
Artemas,i like the way you kiss me,0.747,20.69715909090909,13.329545454545455,17.036931818181817,0.599,0.946,9.38e-4,151.647,2024-06-02
Morgan Wallen,Last Night,0.488,20.69715909090909,13.329545454545455,17.036931818181817,0.492,0.673,0.413,203.812,2024-06-02
Chappell Roan,"Good Luck, Babe!",0.785,20.69715909090909,13.329545454545455,17.036931818181817,0.7,0.582,0.0502,116.712,2024-06-02
